,Ticker,Ex-Dividend Date,Earnings Date,Earnings High,Earnings Low,Earnings Average,Revenue High,Revenue Low,Revenue Average,Ticker_int
0,1332.T,2025-09-29,2025-08-04,,,,224500000000.0,224000000000.0,224250000000.0,1332
1,1333.T,2025-09-29,2025-08-04,,,,,,,1333
2,1414.T,2025-06-27,2025-08-07,,,,25869000000.0,23385000000.0,24446333330.0,1414
3,1430.T,2025-05-29,2025-07-10,,,,,,,1430
4,1605.T,2025-06-27,2025-08-06,,,,508300000000.0,458700000000.0,486633333330.0,1605
5,1663.T,2025-06-27,2025-08-07,,,,,,,1663
6,1822.T,2026-03-30,2025-08-07,,,,,,,1822
7,186A.T,,2025-06-13,,,,,,,186A
8,1925.T,2025-09-29,2025-08-06,,,,1350000000000.0,1258200000000.0,1295656069630.0,1925
9,1926.T,2025-09-29,2025-08-05,,,,27400000000.0,27400000000.0,27400000000.0,1926
10,1928.T,2025-07-30,2025-09-03,,,,1105956000000.0,1048956000000.0,1077456000000.0,1928
11,1929.T,2025-09-29,2025-08-07,,,,,,,1929
12,1949.T,2025-09-29,2025-07-29,,,,,,,1949
13,212A.T,2025-10-30,2025-06-13,,,,,,,212A
14,2130.T,2026-03-30,2025-07-29,,,,5450000000.0,5450000000.0,5450000000.0,2130
15,2158.T,2023-03-30,2025-08-14,,,,,,,2158
16,2173.T,2025-06-27,2025-08-06,,,,,,,2173
17,2317.T,2025-09-29,2025-07-29,,,,20700000000.0,20700000000.0,20700000000.0,2317
18,2326.T,2025-09-29,2025-07-31,,,,2700000000.0,2700000000.0,2700000000.0,2326
19,2488.T,2025-09-29,2025-05-15,,,,,,,2488
20,2502.T,2025-06-27,2025-08-07,,,,756000000000.0,726700000000.0,744433333330.0,2502
21,2503.T,2025-06-27,2025-08-07,,,,646121000000.0,586300000000.0,608480250000.0,2503
22,261A.T,2025-06-27,2025-05-15,,,,,,,261A
23,269A.T,,,,,,,,,269A
24,2802.T,2025-09-29,2025-08-04,,,,393300000000.0,383600000000.0,386875000000.0,2802
25,2914.T,2025-06-27,2025-07-31,,,,903300000000.0,872900000000.0,894420252500.0,2914
26,2975.T,2025-11-27,2025-06-30,,,,,,,2975
27,3003.T,2025-06-27,2025-07-24,,,,191000000000.0,78356000000.0,134678000000.0,3003
28,3042.T,2026-03-30,2025-05-14,,,,,,,3042
29,3231.T,2025-09-29,2025-07-30,,,,263750000000.0,183264564000.0,222878641000.0,3231
30,3288.T,2025-09-29,2025-08-11,,,,331600000000.0,287567000000.0,309583500000.0,3288
31,3289.T,2025-09-29,2025-08-06,,,,413372834000.0,278539564170.0,316782479630.0,3289
32,3350.T,,2025-08-14,,,,,,,3350
33,335A.T,,2025-05-13,,,,,,,335A
34,3382.T,2025-08-28,2025-07-10,,,,2811000000000.0,2488622500000.0,2708724500000.0,3382
35,3407.T,2025-09-29,2025-07-29,,,,766400000000.0,726000000000.0,746434000000.0,3407
36,3436.T,2025-06-27,2025-08-05,,,,102628000000.0,100500000000.0,101600000000.0,3436
37,3443.T,2025-09-29,2025-08-07,,,,,,,3443
38,3498.T,2025-08-28,2025-06-30,,,,,,,3498
39,3625.T,2025-06-27,2025-05-09,,,,,,,3625
40,3626.T,2025-09-29,2025-07-30,,,,139310000000.0,137450000000.0,138412000000.0,3626
41,3635.T,2026-03-30,2025-07-28,,,,17400000000.0,16799000000.0,17126550000.0,3635
42,3655.T,2025-06-27,2025-08-07,,,,3002000000.0,3002000000.0,3002000000.0,3655
43,3687.T,2025-09-29,2025-08-06,,,,,,,3687
44,3692.T,2026-03-30,2025-08-12,,,,,,,3692
45,3696.T,2025-12-29,2025-08-06,,,,,,,3696
46,3741.T,2026-03-30,2025-08-06,,,,,,,3741
47,3778.T,2026-03-30,2025-07-28,,,,8400000000.0,8400000000.0,8400000000.0,3778
48,3825.T,2023-03-30,2025-08-12,,,,,,,3825
49,3861.T,2025-09-29,2025-07-31,,,,484200000000.0,457000000000.0,466500000000.0,3861
50,3903.T,2023-04-27,2025-06-11,,,,,,,3903
51,3915.T,,2025-07-10,,,,7040000000.0,7040000000.0,7040000000.0,3915
52,3941.T,2025-09-29,2025-08-05,,,,255800000000.0,233395000000.0,243998750000.0,3941
53,3967.T,,2025-04-14,,,,,,,3967
54,3984.T,2025-06-27,2025-08-06,,,,,,,3984
55,4004.T,2025-12-29,2025-07-29,,,,361900000000.0,331878000000.0,345326000000.0,4004
56,4063.T,2025-03-28,2025-07-24,,,,641400000000.0,610000000000.0,622240000000.0,4063
57,4107.T,2025-06-27,2025-07-23,,,,,,,4107
58,4118.T,2025-09-29,2025-08-08,,,,207800000000.0,206500000000.0,207150000000.0,4118
59,4180.T,2025-12-29,2025-08-12,,,,10716000000.0,10646000000.0,10689000000.0,4180
60,4186.T,2025-06-27,2025-08-04,,,,56000000000.0,53275000000.0,54788750000.0,4186
61,4188.T,2025-09-29,2025-07-30,,,,929400000000.0,918000000000.0,925583666670.0,4188
62,4204.T,2025-09-29,2025-07-29,,,,316600000000.0,316600000000.0,316600000000.0,4204
63,4237.T,2026-03-30,2025-08-07,,,,,,,4237
64,4258.T,,2025-05-14,,,,,,,4258
65,4307.T,2025-09-29,2025-07-28,,,,199106000000.0,191500000000.0,195642666670.0,4307
66,4344.T,2022-03-30,2025-08-07,,,,,,,4344
67,4369.T,2026-01-29,2025-08-28,,,,6531000000.0,6400000000.0,6465500000.0,4369
68,4385.T,,2025-08-11,,,,50200000000.0,46900000000.0,48661200000.0,4385
69,4452.T,2025-06-27,2025-08-06,,,,440200000000.0,421000000000.0,433292857140.0,4452
70,4493.T,2025-12-29,2025-08-14,,,,,,,4493
71,4499.T,,2025-08-07,,,,,,,4499
72,4502.T,2025-09-29,2025-07-30,,,,1232149800000.0,1092000000000.0,1160324966670.0,4502
73,4503.T,2025-09-29,2025-07-30,,,,487317720000.0,453400000000.0,468203544000.0,4503
74,4507.T,2025-09-29,2025-07-28,,,,108500000000.0,100600000000.0,103908576000.0,4507
75,4519.T,2025-06-27,2025-07-24,,,,352100000000.0,288300000000.0,316285250000.0,4519
76,4523.T,2025-09-29,2025-07-31,,,,200000000000.0,185000000000.0,193199974000.0,4523
77,4543.T,2025-09-29,2025-08-06,,,,268100000000.0,258000000000.0,262267857139.0,4543
78,4568.T,2025-09-29,2025-07-31,,,,480200000000.0,441735000000.0,461487916670.0,4568
79,4578.T,2025-06-27,2025-07-29,,,,633800000000.0,568720000000.0,597595000000.0,4578
80,4661.T,2025-09-29,2025-07-28,,,,167000000000.0,149153153010.0,158242192170.0,4661
81,4681.T,2025-09-29,2025-08-13,,,,54680000000.0,52800000000.0,53740000000.0,4681
82,4689.T,2026-03-30,2025-07-31,,,,499900000000.0,485700000000.0,494876513750.0,4689
83,4691.T,2026-03-30,2025-05-14,,,,,,,4691
84,4704.T,2024-12-27,2025-08-06,,,,71436000000.0,68800000000.0,70184000000.0,4704
85,4751.T,2025-09-29,2025-08-08,,,,213846840000.0,202553000000.0,208201568330.0,4751
86,4825.T,2025-05-29,2025-07-07,,,,,,,4825
87,4901.T,2025-09-29,2025-08-05,,,,781520000000.0,753000000000.0,761578748330.0,4901
88,4911.T,2025-06-27,2025-08-06,,,,261100000000.0,248800000000.0,254803166670.0,4911
89,5020.T,2025-09-29,2025-08-07,,,,2922500000000.0,2144000000000.0,2533250000000.0,5020
90,5032.T,2025-10-30,2025-06-11,,,,14900000000.0,14054000000.0,14477000000.0,5032
91,5108.T,2025-06-27,2025-08-07,,,,1153000000000.0,1034201346000.0,1080750224330.0,5108
92,5132.T,,2025-06-11,,,,450000000.0,450000000.0,450000000.0,5132
93,5133.T,2026-03-30,2025-05-15,,,,,,,5133
94,5201.T,2025-06-27,2025-08-01,,,,580416000000.0,560016000000.0,570216000000.0,5201
95,5214.T,2025-06-27,2025-07-28,,,,88953000000.0,76200000000.0,81051500000.0,5214
96,5232.T,2025-09-29,2025-08-04,,,,57000000000.0,52900000000.0,54950000000.0,5232
97,5233.T,2025-09-29,2025-08-06,,,,209500000000.0,177660000000.0,198353333330.0,5233
98,5253.T,,2025-05-13,,,,10600000000.0,8500000000.0,9547576330.0,5253
99,5262.T,2025-09-29,2025-08-07,,,,,,,5262
100,5301.T,2025-06-27,2025-08-07,,,,84294000000.0,79054000000.0,81674000000.0,5301
101,5332.T,2025-09-29,2025-07-29,,,,172400000000.0,159000000000.0,167880000000.0,5332
102,5333.T,2025-09-29,2025-07-31,,,,157200000000.0,127575000000.0,148668750000.0,5333
103,5334.T,2025-09-29,2025-07-31,,,,172700000000.0,165890820000.0,169547705000.0,5334
104,5344.T,2025-09-29,2025-07-28,,,,18900000000.0,17100000000.0,18000000000.0,5344
105,5393.T,2025-09-29,2025-08-04,,,,59900000000.0,59900000000.0,59900000000.0,5393
106,5401.T,2025-09-29,2025-07-30,,,,2036210000000.0,1930000000000.0,1983105000000.0,5401
107,5572.T,,2025-06-11,,,,,,,5572
108,5591.T,,2025-05-13,,,,,,,5591
109,5595.T,,2025-04-11,,,,1103000000.0,900000000.0,1016500000.0,5595
110,5802.T,2025-09-29,2025-07-30,,,,1090000000000.0,1044657000000.0,1071401148000.0,5802
111,5803.T,2025-09-29,2025-08-06,,,,247600000000.0,207038300000.0,236559478000.0,5803
112,5831.T,2025-09-29,2025-05-09,,,,,,,5831
113,5832.T,2025-09-29,2025-05-14,,,,,,,5832
114,5901.T,2025-09-29,2025-08-05,,,,,,,5901
115,5929.T,2025-09-29,2025-07-29,,,,145000000000.0,138130000000.0,141743333330.0,5929
116,5930.T,2025-09-29,2025-08-04,,,,,,,5930
117,5938.T,2025-09-29,2025-07-28,,,,375800000000.0,358000000000.0,367200000000.0,5938
118,5947.T,2025-09-29,2025-08-05,,,,102800000000.0,100800000000.0,101500000000.0,5947
119,5991.T,2025-09-29,2025-08-06,,,,198300000000.0,195300000000.0,196800000000.0,5991
120,6098.T,2025-09-29,2025-08-05,,,,903300000000.0,865160000000.0,881008400000.0,6098
121,6146.T,2025-03-28,2025-07-16,,,,92500000000.0,79500000000.0,85565620360.0,6146
122,6178.T,2025-09-29,2025-08-07,,,,2722942854000.0,2722942854000.0,2722942854000.0,6178
